cellnames	label
P2771_N711.S508	J-LatA2+SAHA
P2771_N711.S510	J-LatA2+PMA
P2771_N711.S511	J-LatA2+PMA
P2771_N712.S502	Jurkat+SAHA
P2771_N712.S503	Jurkat+PMA
P2771_N712.S505	J-LatA2+DMSO
P2771_N712.S506	J-LatA2+SAHA
P2771_N712.S507	J-LatA2+SAHA
P2771_N712.S508	J-LatA2+PMA
P2771_N712.S510	J-LatA2+PMA
P2771_N712.S511	J-LatA2+PMA
P2771_N714.S502	Jurkat+SAHA
P2771_N714.S503	Jurkat+PMA
P2771_N714.S505	J-LatA2+DMSO
P2771_N714.S506	J-LatA2+SAHA
P2771_N714.S507	J-LatA2+SAHA
P2771_N714.S508	J-LatA2+PMA
P2771_N714.S510	J-LatA2+PMA
P2771_N714.S511	J-LatA2+PMA
P2771_N715.S502	Jurkat+SAHA
P2771_N715.S503	Jurkat+PMA
P2771_N715.S505	J-LatA2+DMSO
P2771_N715.S506	J-LatA2+SAHA
P2771_N715.S507	J-LatA2+SAHA
P2771_N715.S508	J-LatA2+PMA
P2771_N715.S510	J-LatA2+PMA
P2771_N715.S511	J-LatA2+PMA
